sample,label,year,source,fertilized,mowed,treatment,block,ditch,temp1_C,temp2_C,temp3_C,avg_temp,moist_percent,mcf,pH,c_percent,n_percent,TN_mg_g,C_N,n_nh4_ug_gsoil,n_no3_ug_gsoil,p_po4_hcl_ug_gsoil,p_po4_hcl_mg_gsoil,p-po4_w_ug_gsoil,bio_NP,tot_NP,percent_om
WRC15_060,WRC15_060-MF-7,2015,bulk,f,m,MF,7,1,22.6,22.5,22.8,22.63333333,19.5,0.8,5.39,3.14,0.18,1.8,17.4444,2.2569,0,NA,NA,NA,NA,NA,NA
WRC15_061,WRC15_061-C-8,2015,bulk,uf,um,C,8,0,22.8,22.2,22.3,22.43333333,19.6,0.8,5.1,3.33,0.21,2.1,15.8571,2.6843,0,NA,NA,NA,NA,NA,NA
WRC15_062,WRC15_062-F-8,2015,bulk,f,um,F,8,0,22.4,22.3,22.6,22.43333333,19.7,0.8,4.9,3.25,0.19,1.9,17.1053,2.7871,0,NA,NA,NA,NA,NA,NA
WRC15_063,WRC15_063-M-8,2015,bulk,uf,m,M,8,0,23.4,23.1,23,23.16666667,19.3,0.8,5.08,3.57,0.19,1.9,18.7895,3.3114,0.2008,NA,NA,NA,NA,NA,0.095701409
WRC15_064,WRC15_064-MF-8,2015,bulk,f,m,MF,8,0,22,22.3,21.6,21.96666667,19.8,0.8,5.36,3.79,0.22,2.2,17.2273,3.889,0.4613,NA,NA,NA,NA,NA,0.12288011
WRC15_081,WRC15_081-M-AV-2,2015,grass,uf,m,M,2,0,23,22.5,23.1,22.86666667,19.1,0.8,4.05,4.23,0.24,2.4,17.625,3.782,2.4694,NA,NA,NA,NA,NA,0.125254429
WRC15_082,WRC15_082-MF-AV-2,2015,grass,f,m,MF,2,0,23.7,23.7,23,23.46666667,19.1,0.8,4.49,6.63,0.37,3.7,17.9189,3.4487,1.2237,NA,NA,NA,NA,NA,0.160123237
WRC15_083,WRC15_083-M-AV-4,2015,grass,uf,m,M,4,0,23.6,24.2,23.8,23.86666667,19.1,0.8,4.54,5.96,0.31,3.1,19.2258,1.7793,1.4679,NA,NA,NA,NA,NA,NA
WRC15_084,WRC15_084-MF-AV-4,2015,grass,f,m,MF,4,0,23.3,23.2,23.1,23.2,19.1,0.8,4.73,9.31,0.53,5.3,17.566,2.8917,0.8675,NA,NA,NA,NA,NA,0.310658251
WRC15_085,WRC15_085-M-AV-6,2015,grass,uf,m,M,6,0,23.2,22.4,23.3,22.96666667,19.2,0.8,4.73,4.49,0.24,2.4,18.7083,2.1166,1.5596,NA,NA,NA,NA,NA,0.153611974
WRC15_086,WRC15_086-MF-AV-6,2015,grass,f,m,MF,6,0,22,23.1,22.8,22.63333333,19.3,0.8,5,3.79,0.21,2.1,18.0476,2.2291,1.1146,NA,NA,NA,NA,NA,0.147277775
WRC15_087,WRC15_087-M-AV-8,2015,grass,uf,m,M,8,0,23.4,23.1,23,23.16666667,19.3,0.8,4.67,6.28,0.37,3.7,16.973,2.1176,NA,NA,NA,NA,NA,NA,0.194728823
WRC15_088,WRC15_088-MF-AV-8,2015,grass,f,m,MF,8,0,22,22.3,21.6,21.96666667,19.1,0.8,5.01,3.56,0.21,2.1,16.9524,1.5575,0.6675,NA,NA,NA,NA,NA,0.129909694
WRC15_089,WRC15_089-M-EC-2,2015,forb,uf,m,M,2,0,23,22.5,23.1,22.86666667,19.2,0.8,4.12,4.2,0.22,2.2,19.0909,2.3397,0.5794,NA,NA,NA,NA,NA,0.111766987
WRC15_090,WRC15_090-MF-EC-2,2015,forb,f,m,MF,2,0,23.7,23.7,23,23.46666667,19.1,0.8,4.4,4.12,0.23,2.3,17.913,2.2236,0.756,NA,NA,NA,NA,NA,0.188868347
WRC15_091,WRC15_091-M-EC-4,2015,forb,uf,m,M,4,0,23.6,24.2,23.8,23.86666667,19.2,0.8,4.51,6.1,0.33,3.3,18.4848,2.2263,1.0686,NA,NA,NA,NA,NA,0.175358828
WRC15_092,WRC15_092-MF-EC-4,2015,forb,f,m,MF,4,0,23.3,23.2,23.1,23.2,19.1,0.8,5.01,3.65,0.21,2.1,17.381,2.4466,0.4671,NA,NA,NA,NA,NA,0.122289297
WRC15_093,WRC15_093-M-EC-6,2015,forb,uf,m,M,6,0,23.2,22.4,23.3,22.96666667,19,0.8,4.99,4.05,0.21,2.1,19.2857,2.5559,1.2446,NA,NA,NA,NA,NA,0.146780336
WRC15_094,WRC15_094-MF-EC-6,2015,forb,f,m,MF,6,0,22,23.1,22.8,22.63333333,19.1,0.8,4.82,4.76,0.26,2.6,18.3077,3.4496,1.4466,NA,NA,NA,NA,NA,0.181065815
WRC15_095,WRC15_095-M-EC-8,2015,forb,uf,m,M,8,0,23.4,23.1,23,23.16666667,19.3,0.8,4.86,5.63,0.3,3,18.7667,2.3417,0.9701,NA,NA,NA,NA,NA,0.177025771
WRC15_096,WRC15_096-MF-EC-8,2015,forb,f,m,MF,8,0,22,22.3,21.6,21.96666667,19.4,0.8,5.28,4.28,0.24,2.4,17.8333,3.4598,1.0156,NA,NA,NA,NA,NA,0.118404541
WRC18_161,WRC18_161-C-1,2018,bulk,uf,um,C,1,1,12,12.5,10.5,11.66666667,30.2,0.7,3.92,3.36,0.19,1.9,17.6842,0.2899,-0.5952,302.7402,0.302740226,1.3776,0.210433311,6.276007735,NA
WRC18_162,WRC18_162-F-1,2018,bulk,f,um,F,1,1,15.5,15,13,14.5,30.5,0.7,3.94,4.21,0.24,2.4,17.5417,0.1616,-0.1485,348.9264,0.348926372,1.1809,0.136878543,6.878241914,NA
WRC18_163,WRC18_163-M-1,2018,bulk,uf,m,M,1,1,14,13,10,12.33333333,35.6,0.64,4.19,5.39,0.3,3,17.9667,0.4336,-0.2421,169.5419,0.169541895,-0.0003,-1483.833758,17.6947415,NA
WRC18_164,WRC18_164-MF-1,2018,bulk,f,m,MF,1,1,9.5,10,13,10.83333333,26.4,0.74,4.18,2.59,0.16,1.6,16.1875,0.187,-0.0541,200.5662,0.20056621,0.4525,0.41331834,7.977415543,NA
WRC18_165,WRC18_165-C-2,2018,bulk,uf,um,C,2,0,15,16,16,15.66666667,34.5,0.66,3.44,4.82,0.21,2.1,22.9524,0.1657,-0.5686,128.7456,0.12874561,0.5129,0.323096319,16.31123572,NA
WRC18_166,WRC18_166-F-2,2018,bulk,f,um,F,2,0,16,15,15,15.33333333,34.1,0.66,3.55,4.41,0.21,2.1,21,0.5712,-0.3367,323.0713,0.3230713,4.328,0.131971575,6.500113126,NA
WRC18_167,WRC18_167-M-2,2018,bulk,uf,m,M,2,0,14,12,14,13.33333333,33.6,0.66,3.56,4.72,0.22,2.2,21.4545,0.6364,0.0142,117.7729,0.117772912,0.4347,1.463874036,18.68001704,0.10701189
WRC18_168,WRC18_168-MF-2,2018,bulk,f,m,MF,2,0,14,14,14,14,35.4,0.65,3.77,4.89,0.24,2.4,20.375,0.5527,0.175,294.1233,0.294123341,5.2838,0.104601037,8.159842019,0.123534559
WRC18_169,WRC18_169-C-3,2018,bulk,uf,um,C,3,1,11,13,13,12.33333333,28.4,0.72,4.07,3.45,0.2,2,17.25,0.2582,-0.5824,116.1149,0.116114947,0.026,9.93242884,17.22431141,NA
WRC18_170,WRC18_170-F-3,2018,bulk,f,um,F,3,1,11,14.5,14.5,13.33333333,32.2,0.68,3.81,4.52,0.23,2.3,19.6522,0.2655,0.306,312.1478,0.312147768,1.5662,0.169546444,7.368305135,NA
WRC18_171,WRC18_171-M-3,2018,bulk,uf,m,M,3,1,11.5,12,12,11.83333333,23.6,0.76,4.12,2.47,0.15,1.5,16.4667,0.2614,0.0759,105.7549,0.105754867,0.0734,3.561951732,14.18374431,NA
WRC18_172,WRC18_172-MF-3,2018,bulk,f,m,MF,3,1,12,12,12,12,32.1,0.68,4.11,5.45,0.3,3,18.1667,0.2338,-0.2205,405.0531,0.405053072,1.2257,0.190746094,7.406436856,NA
WRC18_173,WRC18_173-C-4,2018,bulk,uf,um,C,4,0,13,13,13,13,33,0.67,3.82,3.88,0.21,2.1,18.4762,0.0905,-0.2031,571.8521,0.571852073,0.1346,0.672652587,3.672278375,NA
WRC18_174,WRC18_174-F-4,2018,bulk,f,um,F,4,0,14,13,13,13.33333333,30.7,0.69,3.74,3.76,0.2,2,18.8,0.0823,-0.4547,271.1347,0.271134725,6.0827,0.013534336,7.376406702,NA
