OTU	Cluster	IndVal	Prob	ta2	ta3	ta4	ta5	ta6	OTU
Otu00003	1	0.747046806248393	0.035	Verrucomicrobia	Spartobacteria	Spartobacteria_order_incertae_sedis	Spartobacteria_family_incertae_sedis	Spartobacteria_genera_incertae_sedis	Otu00003
Otu00012	1	0.644570003251398	0.03	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Singulisphaera	Otu00012
Otu00018	1	0.782219631663204	0.028	Verrucomicrobia	Spartobacteria	Spartobacteria_order_incertae_sedis	Spartobacteria_family_incertae_sedis	Spartobacteria_genera_incertae_sedis	Otu00018
Otu00024	1	0.698298424292933	0.03	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Singulisphaera	Otu00024
Otu00005	2	0.659877042202402	0.038	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacterales_unclassified	Solirubrobacterales_unclassified	Otu00005
Otu00006	2	0.55787375493357	0.014	Acidobacteria	Acidobacteria_Gp1	Acidobacteria_Gp1_order_incertae_sedis	Acidobacteria_Gp1_family_incertae_sedis	Gp1	Otu00006
Otu00014	2	0.611047393896027	0.029	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiales_unclassified	Acidimicrobiales_unclassified	Otu00014
Otu00027	2	0.717899638025996	0.034	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces	Otu00027
